编号,开始答题时间,结束答题时间,答题时长,地理位置国家和地区,地理位置省,地理位置市,自定义字段,IP,UA,Referrer,1.您的年龄是,2.您的专业是否属于计算机类专业,3.到目前为止，您的最高学历(包括在读)是？,4.您的性别是？,5.您家中是否有智能家居设备？,6.您是否了解过智能家居自动化规则？,7.为了**下班回家**享受休闲生活，您会怎样设置智能家居自动化规则呢？例如，下班回家时（触发条件），自动打开客厅门（动作）_填空1,7.为了**下班回家**享受休闲生活，您会怎样设置智能家居自动化规则呢？例如，下班回家时（触发条件），自动打开客厅门（动作）_填空2,7.为了**下班回家**享受休闲生活，您会怎样设置智能家居自动化规则呢？例如，下班回家时（触发条件），自动打开客厅门（动作）_填空3,8.为了保持房间有合适的**光照条件**，您会怎样设置智能家居自动化规则呢？例如，当日出时（触发条件），自动打开窗帘和关闭灯泡直到下午日落时（动作），可以利用自然光保持房间合适的光照。当然，您也可以充分利用各种传感器来设置您期望的触发条件。_填空1,8.为了保持房间有合适的**光照条件**，您会怎样设置智能家居自动化规则呢？例如，当日出时（触发条件），自动打开窗帘和关闭灯泡直到下午日落时（动作），可以利用自然光保持房间合适的光照。当然，您也可以充分利用各种传感器来设置您期望的触发条件。_填空2,8.为了保持房间有合适的**光照条件**，您会怎样设置智能家居自动化规则呢？例如，当日出时（触发条件），自动打开窗帘和关闭灯泡直到下午日落时（动作），可以利用自然光保持房间合适的光照。当然，您也可以充分利用各种传感器来设置您期望的触发条件。_填空3,9.为了保持房间有合适的**温度条件**，您会怎样设置智能家居自动化规则呢？例如，当运动传感器检测到我睡觉，且温度传感器检测到当前温度较低时（触发条件），自动适当调高空调温度并降低风速直到早上检测到我醒来（动作），为了保持房间有合适的温度条件让我睡得更好和更健康。_填空1,9.为了保持房间有合适的**温度条件**，您会怎样设置智能家居自动化规则呢？例如，当运动传感器检测到我睡觉，且温度传感器检测到当前温度较低时（触发条件），自动适当调高空调温度并降低风速直到早上检测到我醒来（动作），为了保持房间有合适的温度条件让我睡得更好和更健康。_填空2,9.为了保持房间有合适的**温度条件**，您会怎样设置智能家居自动化规则呢？例如，当运动传感器检测到我睡觉，且温度传感器检测到当前温度较低时（触发条件），自动适当调高空调温度并降低风速直到早上检测到我醒来（动作），为了保持房间有合适的温度条件让我睡得更好和更健康。_填空3,10.为了**保持房间有合适的湿度条件**，您会怎样设置智能家居自动化规则呢？例如，当我在浴室洗澡时（触发条件），自动打开浴室的智能风扇1小时（动作），为了保持房间有合适的湿度防止霉菌和细菌的滋生。也可以利用湿度传感器的数据作为触发条件。_填空1,10.为了**保持房间有合适的湿度条件**，您会怎样设置智能家居自动化规则呢？例如，当我在浴室洗澡时（触发条件），自动打开浴室的智能风扇1小时（动作），为了保持房间有合适的湿度防止霉菌和细菌的滋生。也可以利用湿度传感器的数据作为触发条件。_填空2,10.为了**保持房间有合适的湿度条件**，您会怎样设置智能家居自动化规则呢？例如，当我在浴室洗澡时（触发条件），自动打开浴室的智能风扇1小时（动作），为了保持房间有合适的湿度防止霉菌和细菌的滋生。也可以利用湿度传感器的数据作为触发条件。_填空3,11.为了**保持空气流通，防止二氧化碳浓度高**，您会怎样设置智能家居自动化规则呢？例如，当我在家时（触发器），自动每隔30分钟检测一次房间内的二氧化碳浓度，并在智能音箱上报告结果（动作），为了提醒我是否需要通风来保持空气流通，防止二氧化碳浓度高。_填空1,11.为了**保持空气流通，防止二氧化碳浓度高**，您会怎样设置智能家居自动化规则呢？例如，当我在家时（触发器），自动每隔30分钟检测一次房间内的二氧化碳浓度，并在智能音箱上报告结果（动作），为了提醒我是否需要通风来保持空气流通，防止二氧化碳浓度高。_填空2,11.为了**保持空气流通，防止二氧化碳浓度高**，您会怎样设置智能家居自动化规则呢？例如，当我在家时（触发器），自动每隔30分钟检测一次房间内的二氧化碳浓度，并在智能音箱上报告结果（动作），为了提醒我是否需要通风来保持空气流通，防止二氧化碳浓度高。_填空3,12.为了**避免或应对异常情况（例如家里有烟雾，一氧化碳浓度高，人走不断电等）**，您会怎样设置智能家居自动化规则呢？例如，当房间内的一氧化碳浓度超过一定的阈值时（触发器），自动打开窗户和新风系统，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知（动作）。_填空1,12.为了**避免或应对异常情况（例如家里有烟雾，一氧化碳浓度高，人走不断电等）**，您会怎样设置智能家居自动化规则呢？例如，当房间内的一氧化碳浓度超过一定的阈值时（触发器），自动打开窗户和新风系统，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知（动作）。_填空2,12.为了**避免或应对异常情况（例如家里有烟雾，一氧化碳浓度高，人走不断电等）**，您会怎样设置智能家居自动化规则呢？例如，当房间内的一氧化碳浓度超过一定的阈值时（触发器），自动打开窗户和新风系统，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知（动作）。_填空3,13.为了实现**安防功能，防止陌生人闯入**，您会怎样设置智能家居自动化规则呢？例如，当有人试图撬开门锁时（触发器），自动在智能音箱上播放一段警告语音，并在手机应用上发送紧急通知，同时拍摄门外的照片或者视频，并保存到云端（动作）防止盗窃和入侵。_填空1,13.为了实现**安防功能，防止陌生人闯入**，您会怎样设置智能家居自动化规则呢？例如，当有人试图撬开门锁时（触发器），自动在智能音箱上播放一段警告语音，并在手机应用上发送紧急通知，同时拍摄门外的照片或者视频，并保存到云端（动作）防止盗窃和入侵。_填空2,13.为了实现**安防功能，防止陌生人闯入**，您会怎样设置智能家居自动化规则呢？例如，当有人试图撬开门锁时（触发器），自动在智能音箱上播放一段警告语音，并在手机应用上发送紧急通知，同时拍摄门外的照片或者视频，并保存到云端（动作）防止盗窃和入侵。_填空3,14.除了上述列举的智能家居场景外，还有很多其他的**日常生活场景**，您能结合您的日常生活构建一些场景并为它设置一些智能家居自动化规则吗？例如，当晚上运动检测器检测到我从睡梦中醒来需要去厕所时，自动打开床地灯1分钟，为了让我能够在昏暗的场景中安全的行动。_填空1,14.除了上述列举的智能家居场景外，还有很多其他的**日常生活场景**，您能结合您的日常生活构建一些场景并为它设置一些智能家居自动化规则吗？例如，当晚上运动检测器检测到我从睡梦中醒来需要去厕所时，自动打开床地灯1分钟，为了让我能够在昏暗的场景中安全的行动。_填空2,14.除了上述列举的智能家居场景外，还有很多其他的**日常生活场景**，您能结合您的日常生活构建一些场景并为它设置一些智能家居自动化规则吗？例如，当晚上运动检测器检测到我从睡梦中醒来需要去厕所时，自动打开床地灯1分钟，为了让我能够在昏暗的场景中安全的行动。_填空3
23,2023/6/25 20:01,2023/6/25 20:52,3102,中国,江苏省,苏州市,,223.112.54.195,"Mozilla/5.0 (Linux; Android 13; PEQM00 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/8716 MicroMessenger/8.0.37.2380(0x2800255B) WeChat/arm64 We",,B.18-25岁,A.是,E.硕士及以上,B.女,B.否,B.否,下班回家时，室内温度高于30度时，自动打开空调,晚上11点时，智能灯自动关灯,卫生间的湿度足够高，自动打开智能风扇,日出时，湿度传感器检测到卫生间湿度低于阈值，自动打开窗帘,日出时，运动传感器检测到移动，自动打开窗帘,日落时，运动传感器检查到无人移动，自动关闭窗帘,运动传感器察觉到睡觉，且温度传感器检测到当前温度较低，自动打开电热毯直到我醒来,温度传感器发现室内温度较低，运动传感器察觉到缓慢的运动，自动打开加热器直到室内温度合适,,当在浴室洗衣服时，自动打开智能风扇,梅雨天，湿度传感器显示湿度较高，自动打开智能风扇,,烟雾传感器高于一定阈值，自动提醒我开窗通风,运动传感器检查到有人移动，二氧化碳传感器发现室内浓度过高，提醒开窗通风,,家中无人时，安全门锁被打开。安全摄像头拍摄影像，并向手机发送通知,烟雾传感器高于一定阈值，打开洒水器。并向手机发送通知,,当有人试图撬开门锁，安全摄像进行安全摄影，并发送到手机上,安全门锁被撬开，运动传感器检测到有人移动，向手机发送抱紧通知,,在智能洗手台上洗手等活动后，手部干燥器自动开启1分钟,打开电视时，智能灯自动开启；打开电视1小时后，小爱同学播放通知注意用眼休息,运动传感器检测到有人运动，光照传感器检测到光照过强，自动关上窗帘
22,2023/6/25 20:00,2023/6/25 20:29,1736,中国,江苏省,苏州市,,223.112.54.202,"Mozilla/5.0 (Linux; Android 12; ANN-AN00 Build/HONORANN-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/369 MicroMessenger/8.0.37.2380(0x28002557) WeChat/arm64 Wei",,B.18-25岁,A.是,D.大学本科,B.女,A.是,B.否,去卫生间洗手时，洗完手自动打开手部干燥器,回到客厅，自动播放喜欢的音乐,到厨房做菜，给出几个推荐菜和做法,在入睡时，把灯光调到助眠模式，不要太刺眼影响睡觉，也不要太黑看书或者看手机伤眼睛,察觉到进入睡眠后，自动关闭所有的灯,夜间起床时，自动开到助眠模式,检测到开火做饭时，厨房自动降温，让厨房不要再开火做饭时太热,检测到有小朋友没穿鞋在地板上跑 ，自动给地板升温,,拖地之后，检测到地板是湿的，自动烘干,外面下雨时，打开空调干燥模式，不要让房间里太闷热,,洗完澡后，自动打开换气系统，加快卫生间空气流动,检测到家里人口密度大，提醒打开换气系统,,检测到有人抽烟，自动打开窗户和空气净化系统,检测到厨房着火，自动打开洒水器,,当识别到不是家庭成员在房间时，自动识别该成员是否认识，如果认识发到手机上告诉是谁谁谁进了房间，不认识发出警报并提醒,如果检测到门外有人，可以根据工作服检测门外人的意图，比如说是外卖员还是保安还是其他的人,,当有一直追的剧或者综艺更新的时候，检测到我在沙发上，可以自动播放已更新的剧,当晚上睡前再卧室玩手机，把灯调到助眠模式，不要太亮影响睡觉，也不要太暗伤眼睛,
21,2023/6/24 21:25,2023/6/24 21:33,457,中国,辽宁省,大连市,,2409:8a15:25d6:6ec0:49c4:6978:ec1c:3b5e,"Mozilla/5.0 (Linux; Android 10; M2007J17C Build/QKQ1.200628.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.4758.102 MQQBrowser/6.2 TBS/046503 Mobile Safari/537.36 wxwork/4.1.6 MicroMessenger/7.0.1 NetType/WIFI Language/zh Lang/zh ",,D.36-50岁,A.是,E.硕士及以上,A.男,A.是,A.是,电视自动播放喜欢的剧,电热毯自动升温,,洗手台自动清洁功能,风扇自动调节方向,,自动打开灯光,手部干燥之后喷洒爽肤水,,洗手台自动收缩,光线自动调节,,自动检测二氧化碳浓度,地毯自动调节温度,,二氧化碳浓度过高自动调节,室内光线自动调节,,门锁被触碰安全警报,自动调节室内温度,,自动感应灯,电磁炉预订时间开始工作,
20,2023/6/23 23:08,2023/6/23 23:33,1509,中国,山东省,淄博市,,112.38.131.50,"Mozilla/5.0 (Linux; Android 12; 22041211AC Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/9669 MicroMessenger/8.0.37.2380(0x28002553) WeChat/arm6",,C.26-35岁,B.否,D.大学本科,B.女,A.是,B.否,达到光感传感器设定值开门客厅自动开灯,低于设置温度时加热器自动开启,安全门锁关门自动落锁,起床自动打开窗帘,打开电视后自动调整屋内灯光亮度,,运动时自动关闭空调,电磁炉工作室自动调节厨房温度,沐浴时自动调节卫生间温度,加热器工作时自动调节湿度,冬天居家时自动调节湿度,,夜晚睡眠定时换气,二氧化碳浓度高时自动换气,,一氧化碳浓度高，家里有人时，自动发出警报,有烟雾自动开窗，断电，并提示,,检测到门外陌生面孔时自动发送通知到手机,密码输入错误三次自动锁定并发出通告,,智能洗手台自动调节高度,电视机自动调节方向,
19,2023/6/23 22:22,2023/6/23 23:04,2532,中国,吉林省,,,123.173.114.13,"Mozilla/5.0 (Linux; Android 10; PCT-AL10 Build/HUAWEIPCT-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230303 MMWEBID/9637 MicroMessenger/8.0.34.2340(0x2800225F) WeChat/arm64 W",,B.18-25岁,B.否,D.大学本科,A.男,A.是,A.是,摄像头生面孔追录,风扇每小时自动换气,,阴天绿植自动补光,光线不足自动补光，保证摄录,,摄像头测到浴后服饰，自动调好空调温度,温度传感器监测到房间温度因通风降低，电热毯升温，以保证睡眠温度。,,湿度传感器监测房间湿度不够，加湿器自动工作,湿度传感器监测自动洗手台上面水残留过多，自动清理,,客厅绿植二氧化碳浓度监测，并报告，防止二氧化碳浓度高,厨房烟雾监测及二氧化碳浓度监测同时进行,,厨房烟雾，监测到自动通风,厨房火情，自动洒水,,陌生面孔自动摄录并连接物业系统，自动报告,陌生指纹接触门锁，自动报告物业管家,,监测到洗手，干手器自动准备工作,监测到要洗脸刷牙，自动洗手台自动开灯,
18,2023/6/23 22:37,2023/6/23 23:03,1538,中国,河南省,商丘市,,120.219.146.151,"Mozilla/5.0 (Linux; Android 13; V2001A Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20220805 MMWEBID/8009 MicroMessenger/8.0.27.2220(0x28001B37) WeChat/arm64 We",,C.26-35岁,B.否,D.大学本科,B.女,A.是,A.是,下班回家时，自动开启电视,下班回家时，自动开启智能电饭煲,,晨起时自动打开窗帘,夜间活动时自动开启夜灯,,检测到我下班回家客厅温度较高，自动开启空调至适宜温度,监测我准备睡觉时，自动调节至舒睡适宜温度,,监测雨天室内湿度较高时自动开启空调除湿功能,洗澡结束，自动开窗并打开排气扇通风,,居家时每搁一小时监测并播报二氧化碳浓度,监测二氧化碳浓度较高时，自动开启换气扇,,监测家中无人且有电器运作时自动切断电源并发送通知,监测室内一氧化碳浓度超出阈值，发送报警，并切断电源燃气，自动开窗,,监测有陌生人在门口徘徊，自动开启监控和报警器并发送通知,监测门锁密码错误两次，自动开启报警器和监控并发送通,,监测有人洗手自动打开干燥器,监测白天室内光线较暗时，自动开启照明灯并调至适宜亮度,
17,2023/6/23 22:25,2023/6/23 22:54,1742,中国,浙江省,台州市,,115.202.156.56,"Mozilla/5.0 (Linux; Android 10; SEA-AL10 Build/HUAWEISEA-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/3339 MicroMessenger/8.0.37.2380(0x28002557) WeChat/arm64 W",,B.18-25岁,B.否,D.大学本科,B.女,A.是,A.是,下班回家时，小爱自动播放音乐,运动传感器检测到有人回家时，电视自动打开,,运动传感器检测到有人在卧室，且天黑时，卧室灯自动开,二氧化碳检测到卧室空气变化时，推断我的睡眠情况，自动关闭卧室灯,,温度传感器检测到卧室温度过高且有人在家时，自动开空调,温度传感器检测到室内温度较低且运动传感器检测到有人回家时，加热器打开,,当我洗完头时，浴室窗户自动打开通风1h,智能洗手台使用完毕后手部干燥器自动打开,,二氧化碳传感器检测到浓度过高，门窗自动打开通风并发送警报,卧室二氧化碳传感器检测到室内浓度过高，且客厅运动传感器检测到我在家，将情况上报给小爱,,卧室运动传感器检测到有人且安全摄像头检测无人在家，安全门所发出警报,加热器故障过热时自动断电并向小爱发送警报,,安全门锁出现异常时，小爱自动发出警报且上传信息至主人手机,门锁被打开且室内无人时，安全摄像头开启,,冰箱门长时间打开时，发出提示音,智能洗手台在使用10次之后自净一次,
16,2023/6/23 22:26,2023/6/23 22:50,1445,中国,广东省,广州市,,240e:3b5:cb7:3290:2068:9566:905f:268e,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.26(0x18001a34) NetType/WIFI Language/zh_HK",,B.18-25岁,A.是,D.大学本科,B.女,A.是,A.是,手机设置即将到家的时候可以提前开空调,打开门的时候根据当前是晚上的时候自动开客厅灯,通过呼唤可以自动打开窗帘，以及离开家的时候如果门窗没有关好可以通过app提醒,通过声音呼唤可以控制灯光,通过声音可以控制窗帘开关,根据关照如果是晚上回到家可以打开大门的时候同步亮客厅灯,通过声控可以控制空调温度，,通过手机app可以远程控制空调开关,如果我离开家的时候没有关空调，可以通过app提示没人在家是否需要关空调,打开花洒的时候自动开,语音开关,当察觉到房间湿度过高可以进行app提醒,如果我离开家也就是关大门的时候没有关阀门务必进行提醒,离开厨房的时候没有关阀门或者超过一定时间没有人在厨房需要进行提醒,做饭过程中二氧化碳浓度高需要提醒。,如果我在家的时候一氧化碳浓度过高小爱同学进行提醒,如果我不在家的时候，可以进行app提醒,如果小爱同学进行提醒但是我已经超过10分钟没有下一步操作，需要发通知给我紧急联系人,我关门的时候没有关紧门窗，需要app进行提醒,如果有陌生人入室需要发送通知给我，如果我没有下一步操作需要发送通知合法权益紧急联系人,如果我在家遇上陌生人撬开门窗需要当前立刻提醒，如果我没有进一步操作需要发送通知并把当前图像发送给我紧急联系人,语音开关灯,如果遇到特殊情况比如煤气没关已经给我发了提示信息但是我没有下一步操作那就需要发送通知给我紧急联系人,一定要要备用电，比如遇到临时停电最起码不至于没有灯也没法开门之类的情况。
15,2023/6/23 21:41,2023/6/23 22:28,2823,中国,广东省,深圳市,,117.61.112.60,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.29(0x18001d38) NetType/WIFI Language/zh_CN",,B.18-25岁,B.否,D.大学本科,B.女,A.是,A.是,当使用卫生间淋浴器时，自动启动卫生间的抽风机，以确保空气流通和湿度控制。,当躺在床上并触发睡眠模式，自动关闭卧室的窗帘，关闭灯光，并调整空调为适合睡眠的温度,当您的手机接近家庭区域，根据GPS位置判断，自动打开客厅门，并将空调设定为您喜欢的温度。,日出太阳升起时，自动开启卧室窗帘，让阳光进入房间，促进自然醒来,根据日落时间，自动关闭客厅窗帘并打开灯泡照明,,当运动传感器检测到我早上醒来且温度传感器显示温度升高，自动调到适宜的温度和风速,当温度传感器检测到当前温度较低时，但光照传感器检测到室外天气较暖和。 自动调高客厅空调温度并降低风速，以在保持舒适的同时节能。,,当湿度传感器检测到卧室湿度超过设定的阈值，自动打开卧室加湿器，并调整加湿器的湿度设置到适当水平，以保持舒适的湿度条件。,当湿度传感器检测到厨房湿度超过设定的阈值，并且没有检测到任何烹饪活动或蒸汽释放，自动开启厨房抽油烟机并调整抽风速度，以排除潮湿和异味。,,当检测到有人在家时，每隔30分钟自动检测厨房内的二氧化碳浓度，并通过智能音箱报告结果，提醒我是否需要打开抽油烟机或通风设备,检测有人在家时，每隔一小时自动检测卧室内二氧化碳浓度,,当检测到厨房内的烟雾浓度超过设定的阈值，自动打开窗户和抽油烟机，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知。,当检测到房间内的火灾或烟雾，自动打开窗户，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知,,门锁有被破坏的迹象时，自动报警并拍照录像,输错密码多次且疑似陌生人，自动发出警告并录像报警,,当卫生间的门传感器检测到有人进入，自动打开排气扇，减少湿气和异味,传感器检测到房间长时间没人时，自动关闭空调,
14,2023/6/23 21:39,2023/6/23 22:13,2014,中国,河北省,张家口市,,2409:8904:6b21:c85e:184f:793e:9687:7377,"Mozilla/5.0 (Linux; Android 10; BLA-AL00 Build/HUAWEIBLA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/7238 MicroMessenger/8.0.37.2380(0x28002553) WeChat/arm64 W",,C.26-35岁,B.否,D.大学本科,B.女,A.是,A.是,下班回家移动打开空调,距离洗手台20厘米以内自动出水,家中有变动时小爱自动发送手机提示,电视打开时纱帘自动关闭,夜晚有识别人影晃动自动打开玄幻灯光,领悟状态10分钟自动关闭灯光,卧室识别有人的情况下自动控制室温23度,厨房识别调节风向,卫生间始终保持合适的温度湿度,湿度传感器设定固定的值，自动调节,保持卫生间干燥，湿度不满足时打开智能风扇1小时,洗手台有水渍自动打开手部干燥器10分钟,每天早晚检测室内二氧化碳浓度，并出具报告,识别家中有人时每隔1小时识别二氧化碳浓度，高出安全范围提醒开窗通风,,家中无人时烟雾传感器异常可自动报警并通知到我手机,电源出现异常情况时要实时传送视频到手机通知,,当智能锁出现异常情况播放警示铃声并自动联系物业上门处理,家长有人物晃动小爱要及时提示并发送监控视频,,客厅无人影晃动电视自动关闭,早晨运动传感器有识别家中窗帘自动拉开,半夜识别婴儿哭声灯光自动打开夜灯模式
